AAA,PPT,6
AAA,MKP,0
AAA,RRR,0
AAA,FAC,0
AAK,TRW,12
AAK,KUC,0
AAL,CPH,389
AAL,AMS,87
AAL,OSL,36
AAL,STN,12
AAL,AGP,12
AAL,BCN,5
AAL,SCR,4
AAL,Las Palmas,4
AAL,FAE,0
AAL,AYT,0
AAL,RNN,0
AAL,PMI,0
AAN,KWI,12
AAN,CCJ,8
AAN,PEW,8
AAN,AMM,0
AAP,CGK,154
AAP,SUB,116
AAP,JOG,83
AAP,BEJ,41
AAP,GHS,29
AAP,DPS,29
AAP,TRK,29
AAP,YIA,29
AAP,BDJ,29
AAP,HLP,29
AAP,UPG,29
AAP,TJS,13
AAQ,DME,91
AAQ,SVO,87
AAQ,SGC,0
AAQ,UFA,0
AAQ,LED,0
AAQ,CEE,0
AAQ,KJA,0
AAQ,OVB,0
AAQ,SCW,0
AAQ,TJM,0
AAQ,VKO,0
AAQ,KUF,0
AAQ,HMA,0
AAQ,NJC,0
AAQ,PES,0
AAR,CPH,150
AAR,OSL,44
AAR,Bromma,31
AAR,Arlanda,24
AAR,STN,20
AAR,MUC,13
AAR,GDN,8
AAR,LGW,8
AAR,PMI,0
AAR,Crete,0
AAR,SPU,0
AAR,ZAD,0
AAR,RNN,0
AAR,ALC,0
AAR,AGP,0
AAR,NCE,0
AAT,URC,109
AAT,XIY,39
AAT,KJI,27
AAT,BPL,16
AAT,CGO,16
AAT,KRL,13
AAT,YIN,13
AAT,TCG,12
AAT,KRY,11
AAX,CNF,8
AAX,UBA,0
ABA,DME,21
ABA,KJA,21
ABA,SVO,21
ABA,OVB,20
ABA,KYZ,12
ABA,NSK,5
ABB,LOS,96
ABB,ABV,78
ABD,THR,58
ABD,SYZ,42
ABD,MHD,40
ABD,IFN,29
ABD,BND,4
ABE,ORD,87
ABE,PHL,85
ABE,CLT,85
ABE,DTW,81
ABE,ATL,70
ABE,SFB,54
ABE,PIE,18
ABE,PGD,15
ABE,FLL,7
ABE,SAV,5
ABE,SRQ,5
ABE,BNA,5
ABE,MDW,0
ABE,MYR,0
ABF,TRW,12
ABF,MZK,4
ABI,DFW,158
ABJ,ACC,75
ABJ,DSS,59
ABJ,CDG,47
ABJ,COO,44
ABJ,OUA,42
ABJ,BKO,42
ABJ,CMN,39
ABJ,CKY,37
ABJ,IST,29
ABJ,LFW,28
ABJ,ADD,25
ABJ,Orly,19
ABJ,NBO,17
ABJ,LIS,16
ABJ,TUN,13
ABJ,ALG,12
ABJ,BRU,12
ABJ,JFK,9
ABJ,BOY,8
ABJ,LOS,8
ABJ,NIM,4
ABJ,BEY,0
ABK,JIJ,5
ABL,OTZ,54
ABL,SHG,54
ABL,OBU,0
ABM,CNS,30
ABQ,PHX,294
ABQ,DEN,203
ABQ,LAX,197
ABQ,DFW,193
ABQ,DAL,131
ABQ,IAH,117
ABQ,LAS,115
ABQ,ORD,81
ABQ,SLC,79
ABQ,HOU,78
ABQ,SVC,70
ABQ,CNM,58
ABQ,SFO,58
ABQ,ATL,50
ABQ,OAK,44
ABQ,AUS,38
ABQ,SAN,38
ABQ,MDW,29
ABQ,PDX,29
ABQ,BWI,29
ABQ,SEA,27
ABQ,MCI,20
ABR,MSP,58
ABS,ASW,83
ABT,RUH,78
ABT,JED,50
ABT,DMM,21
ABU,KOE,87
ABV,LOS,895
ABV,PHC,218
ABV,KAN,107
ABV,YOL,106
ABV,QUO,103
ABV,ABB,83
ABV,QOW,82
ABV,ACC,78
ABV,QRW,58
ABV,MIU,49
ABV,IBA,45
ABV,ILR,45
ABV,BNI,41
ABV,SKO,40
ABV,LHR,29
ABV,CBQ,29
ABV,DXB,29
ABV,IST,29
ABV,ADD,28
ABV,LFW,26
ABV,AKR,24
ABV,CAI,24
ABX,SYD,233
ABX,MEL,49
ABX,WGA,0
ABY,ATL,80
ABZ,LHR,265
ABZ,MAN,123
ABZ,AMS,116
ABZ,SVG,105
ABZ,LSI,102
ABZ,NCL,90
ABZ,KOI,77
ABZ,BHX,70
ABZ,Tees Valley,59
ABZ,NWI,58
ABZ,CDG,58
ABZ,HUY,55
ABZ,Southend,47
ABZ,BGO,44
ABZ,DUB,26
ABZ,BRS,24
ABZ,EBJ,24
